Day, Date old,Month,Day,Year,Concatenate,DATE, Time
Monday, 15 January 1900,1,15,1900,1/15/1900,1/15/1900, 08:07:30 pm
Wednesday, 14 February 1900,2,14,1900,2/14/1900,2/14/1900, 02:50:12 pm
Friday, 16 March 1900,3,16,1900,3/16/1900,3/16/1900, 09:11:48 am
Sunday, 15 April 1900,4,15,1900,4/15/1900,4/15/1900, 02:02:06 am
Monday, 14 May 1900,5,14,1900,5/14/1900,5/14/1900, 04:36:36 pm
Wednesday, 13 June 1900,6,13,1900,6/13/1900,6/13/1900, 04:38:36 am
Thursday, 12 July 1900,7,12,1900,7/12/1900,7/12/1900, 02:21:54 pm
Friday, 10 August 1900,8,10,1900,8/10/1900,8/10/1900, 10:29:54 pm
Sunday, 9 September 1900,9,9,1900,9/9/1900,9/9/1900, 06:06:06 am
Monday, 8 October 1900,10,8,1900,10/8/1900,10/8/1900, 02:18:06 pm
Tuesday, 6 November 1900,11,6,1900,11/6/1900,11/6/1900, 11:59:36 pm
Thursday, 6 December 1900,12,6,1900,12/6/1900,12/6/1900, 11:38:06 am
Saturday, 5 January 1901,1,5,1901,1/5/1901,1/5/1901, 01:13:24 am
Sunday, 3 February 1901,2,3,1901,2/3/1901,2/3/1901, 04:29:42 pm
Tuesday, 5 March 1901,3,5,1901,3/5/1901,3/5/1901, 09:04:06 am
Thursday, 4 April 1901,4,4,1901,4/4/1901,4/4/1901, 02:20:06 am
Friday, 3 May 1901,5,3,1901,5/3/1901,5/3/1901, 07:18:42 pm
Sunday, 2 June 1901,6,2,1901,6/2/1901,6/2/1901, 10:52:42 am
Tuesday, 2 July 1901,7,2,1901,7/2/1901,7/2/1901, 12:17:36 am
Wednesday, 31 July 1901,7,31,1901,7/31/1901,7/31/1901, 11:33:42 am
Thursday, 29 August 1901,8,29,1901,8/29/1901,8/29/1901, 09:20:48 pm
Saturday, 28 September 1901,9,28,1901,9/28/1901,9/28/1901, 06:35:42 am
Sunday, 27 October 1901,10,27,1901,10/27/1901,10/27/1901, 04:06:12 pm
Tuesday, 26 November 1901,11,26,1901,11/26/1901,11/26/1901, 02:17:30 am
Wednesday, 25 December 1901,12,25,1901,12/25/1901,12/25/1901, 01:15:48 pm
Friday, 24 January 1902,1,24,1902,1/24/1902,1/24/1902, 01:06:06 am
Saturday, 22 February 1902,2,22,1902,2/22/1902,2/22/1902, 02:03:18 pm
Monday, 24 March 1902,3,24,1902,3/24/1902,3/24/1902, 04:21:12 am
Tuesday, 22 April 1902,4,22,1902,4/22/1902,4/22/1902, 07:49:30 pm
Thursday, 22 May 1902,5,22,1902,5/22/1902,5/22/1902, 11:46:00 am
Saturday, 21 June 1902,6,21,1902,6/21/1902,6/21/1902, 03:16:42 am
Sunday, 20 July 1902,7,20,1902,7/20/1902,7/20/1902, 05:45:00 pm
Tuesday, 19 August 1902,8,19,1902,8/19/1902,8/19/1902, 07:03:18 am
