Year,RANK,TEAM,OPENING DAY,CURRENT,AVG SALARY,MEDIAN
2017,1,Dodgers,"$169,394,811 ","$189,394,811 ","$6,530,856 ","$2,800,000 "
2017,2,Tigers,"$180,250,600 ","$180,250,600 ","$6,932,715 ","$1,650,000 "
2017,3,Mets,"$169,891,596 ","$174,491,596 ","$6,231,843 ","$3,525,000 "
2017,4,Red Sox,"$173,704,598 ","$173,704,598 ","$5,790,153 ","$1,975,000 "
2017,5,Rangers,"$155,764,730 ","$172,848,063 ","$5,237,820 ","$1,833,333 "
2017,6,Yankees,"$171,746,342 ","$171,746,342 ","$6,360,976 ","$2,290,000 "
2017,7,Cubs,"$168,263,502 ","$168,263,502 ","$6,730,540 ","$3,500,000 "
2017,8,Nationals,"$124,804,062 ","$163,375,489 ","$6,283,673 ","$4,000,000 "
2017,9,Giants,"$134,020,166 ","$156,531,277 ","$5,797,455 ","$2,000,000 "
2017,10,Orioles,"$137,742,237 ","$144,596,949 ","$5,783,878 ","$3,475,000 "
2017,11,Mariners,"$118,207,720 ","$142,207,720 ","$4,740,257 ","$1,212,500 "
2017,12,Braves,"$137,339,527 ","$137,339,527 ","$4,577,984 ","$1,250,000 "
2017,13,Royals,"$134,425,249 ","$134,425,249 ","$4,800,902 ","$4,000,000 "
2017,14,Cardinals,"$113,586,266 ","$131,669,599 ","$4,702,486 ","$2,725,000 "
2017,15,Astros,"$127,443,900 ","$127,443,900 ","$4,720,144 ","$3,725,000 "
2017,16,Angels,"$123,549,166 ","$123,549,166 ","$4,412,470 ","$2,000,000 "
2017,17,Blue Jays,"$121,767,667 ","$122,796,238 ","$4,722,932 ","$2,068,750 "
2017,18,Indians,"$94,916,167 ","$115,999,500 ","$4,296,278 ","$3,400,000 "
2017,19,White Sox,"$97,134,500 ","$109,301,167 ","$4,048,191 ","$900,000 "
2017,20,Marlins,"$103,106,100 ","$106,784,671 ","$3,954,988 ","$2,500,000 "
2017,21,Rockies,"$93,309,904 ","$101,709,904 ","$3,280,965 ","$545,000 "
2017,22,Pirates,"$96,133,666 ","$96,133,666 ","$3,697,449 ","$2,993,750 "
2017,23,Twins,"$94,287,500 ","$94,287,500 ","$3,367,411 ","$586,250 "
2017,24,Phillies,"$86,513,378 ","$86,513,378 ","$3,604,724 ","$955,000 "
2017,25,Reds,"$81,840,785 ","$81,840,785 ","$2,728,026 ","$571,000 "
2017,26,Diamondbacks,"$78,042,999 ","$78,042,999 ","$3,121,720 ","$1,250,000 "
